%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
60.59	1.00	1.36	-4.50
60.81	1.00	1.26	-4.63
60.87	1.00	1.47	-4.72
61.13	1.00	1.58	-4.89
61.40	1.00	1.68	-4.87
61.46	1.00	1.83	-4.64
61.54	1.00	1.68	-4.37
62.03	1.00	2.17	-4.63
62.23	1.00	1.92	-4.55
62.34	1.00	1.64	-4.63
62.62	1.00	1.38	-4.71
62.87	1.00	1.36	-4.59
63.09	1.00	1.34	-4.63
63.47	1.00	1.57	-4.54
63.56	1.00	1.63	-4.54
63.75	1.00	1.75	-4.48
63.88	1.00	1.56	-4.59
63.96	1.00	1.55	-4.70
64.10	1.00	1.73	-4.55
64.26	1.00	2.10	-4.74
64.43	1.00	1.30	-4.82
64.67	1.00	1.97	-4.68
65.00	1.00	1.76	-4.80
65.27	1.00	1.96	-4.77
65.41	1.00	1.78	-4.95
65.61	1.00	1.75	-4.79
65.75	1.00	1.18	-5.00
65.98	1.00	1.50	-4.92
66.06	1.00	1.33	-4.83
66.25	1.00	1.07	-5.02
66.37	1.00	1.50	-4.61
66.64	1.00	1.59	-4.64
66.80	1.00	1.60	-4.58
66.82	1.00	1.61	-4.62
67.01	1.00	1.79	-4.67
67.24	1.00	1.81	-4.51
67.50	1.00	1.56	-4.61
67.60	1.00	1.58	-4.44
67.74	1.00	2.14	-4.52
68.03	1.00	2.12	-4.42
68.20	1.00	2.21	-4.30
68.23	1.00	2.07	-4.37
68.47	1.00	1.99	-4.16
68.67	1.00	2.00	-3.91
68.90	1.00	2.12	-4.20
69.00	1.00	2.21	-4.06
69.24	1.00	2.32	-4.27
69.45	1.00	2.59	-4.18
69.74	1.00	2.63	-4.26
69.96	1.00	2.91	-4.28
70.14	1.00	2.59	-4.33
70.28	1.00	2.46	-4.32
70.52	1.00	2.82	-4.16
70.68	1.00	2.79	-4.33
70.85	1.00	2.83	-4.19
71.05	1.00	2.23	-4.43
71.43	1.00	2.43	-4.61
71.58	1.00	2.33	-4.61
71.74	1.00	2.29	-4.65
71.96	1.00	2.10	-4.59
72.20	1.00	2.03	-4.55
72.39	1.00	1.93	-4.61
72.52	1.00	1.99	-4.50
72.66	1.00	2.18	-4.56
73.04	1.00	2.28	-4.55
74.07	1.00	2.40	-4.01
74.15	1.00	1.97	-4.03
74.23	1.00	1.89	-4.16
74.49	1.00	1.42	-4.69
74.57	1.00	1.48	-4.86
74.78	1.00	1.89	-4.70
74.95	1.00	1.91	-4.61
75.16	1.00	1.96	-4.91
75.28	1.00	2.16	-4.88
75.51	1.00	2.51	-4.93
75.61	1.00	2.57	-4.85
75.80	1.00	2.50	-4.92
76.43	1.00	2.39	-4.83
76.59	1.00	2.32	-4.93
76.66	1.00	2.38	-4.99
76.89	1.00	2.25	-5.07
77.00	1.00	2.37	-4.97
77.22	1.00	2.61	-4.85
77.29	1.00	2.41	-4.91
77.77	1.00	2.31	-4.59
77.88	1.00	2.03	-4.69
78.12	1.00	2.21	-4.86
78.27	1.00	2.26	-4.93
78.50	1.00	2.32	-4.72
78.67	1.00	2.35	-4.88
78.89	1.00	2.33	-4.74
79.05	1.00	2.31	-4.83
79.11	1.00	2.26	-4.97
79.35	1.00	2.26	-4.77
79.53	1.00	2.18	-4.96
79.77	1.00	2.12	-4.77
79.92	1.00	2.06	-4.91
80.14	1.00	2.16	-4.67
80.31	1.00	2.10	-4.92
80.54	1.00	2.14	-4.91
80.71	1.00	2.16	-4.82
80.95	1.00	2.18	-4.63
81.07	1.00	2.15	-4.79
81.16	1.00	2.19	-4.60
81.36	1.00	2.17	-4.78
81.52	1.00	2.22	-4.74
81.78	1.00	2.13	-4.85
81.90	1.00	2.28	-4.59
82.00	1.00	2.20	-4.76
82.16	1.00	2.75	-4.79
82.32	1.00	2.63	-4.96
82.53	1.00	2.71	-4.74
82.74	1.00	2.33	-4.93
82.96	1.00	2.00	-4.81
83.10	1.00	1.58	-4.99
83.35	1.00	1.53	-4.83
83.50	1.00	1.74	-4.79
83.73	1.00	2.00	-4.76
83.90	1.00	1.89	-4.93
84.18	1.00	1.74	-4.89
84.28	1.00	1.58	-4.94
84.53	1.00	1.43	-4.94
84.66	1.00	1.55	-4.94
84.90	1.00	1.68	-4.84
85.22	1.00	1.52	-4.84
85.50	1.00	1.54	-4.80
85.71	1.00	NaN	NaN
85.97	1.00	1.93	-4.97
86.25	1.00	2.14	-4.95
86.51	1.00	2.12	-4.92
86.62	1.00	2.22	-5.14
86.64	1.00	2.30	-5.07
87.17	1.00	2.26	-5.11
87.33	1.00	2.39	-4.98
87.61	1.00	2.49	-4.82
87.77	1.00	2.39	-4.82
88.04	1.00	2.38	-4.77
88.36	1.00	2.80	-4.87
88.47	1.00	2.76	-4.70
88.70	1.00	2.45	-4.81
88.91	1.00	2.33	-4.70
89.07	1.00	2.43	-4.88
89.44	1.00	2.57	-4.89
89.69	1.00	2.63	-4.98
89.94	1.00	2.40	-4.87
90.17	1.00	2.31	-4.81
90.38	1.00	1.93	-4.61
90.67	1.00	1.70	-4.64
90.93	1.00	1.77	-4.67
91.05	1.00	1.75	-4.75
91.25	1.00	1.74	-4.76
91.60	1.00	1.79	-4.82
91.67	1.00	1.63	-4.80
91.84	1.00	1.81	-4.83
92.12	1.00	1.80	-4.93
92.49	1.00	1.74	-4.84
92.60	1.00	1.45	-4.68
92.83	1.00	1.28	-4.73
93.34	1.00	1.40	-4.85
93.75	1.00	2.22	-4.95
94.81	1.00	2.18	-5.01
95.57	1.00	1.76	-4.98
95.89	1.00	2.32	-4.91
96.77	1.00	2.21	-5.02
97.47	1.00	2.35	-4.98
98.79	1.00	2.40	-5.04
99.38	1.00	1.98	-4.86
100.00	1.00	1.86	-4.66
100.57	1.00	2.13	-4.59
101.30	1.00	2.10	-4.85
102.25	1.00	2.61	-4.83
103.03	1.00	3.00	-4.79
103.83	1.00	1.42	-4.90
104.45	1.00	1.96	-4.80
105.04	1.00	1.90	-4.92
106.63	1.00	2.29	-4.90
107.28	1.00	2.04	-4.69
108.46	1.00	1.90	-4.94
109.03	1.00	1.65	-4.82
110.18	1.00	2.03	-5.01
111.03	1.00	1.64	-4.80
112.25	1.00	2.01	-4.60
113.03	1.00	1.97	-4.47
114.55	1.00	2.37	-4.84
115.03	1.00	2.35	-4.85
116.25	1.00	2.21	-4.96
116.90	1.00	2.23	-4.89
118.13	1.00	2.40	-5.03
118.45	1.00	2.37	-4.79
119.83	1.00	2.06	-4.75
120.74	1.00	2.00	-4.76
121.96	1.00	2.53	-4.89
122.68	1.00	2.68	-4.79
123.97	1.00	2.24	-5.03
124.47	1.00	2.54	-5.04
125.62	1.00	2.58	-4.96
126.05	1.00	2.38	-4.95
127.78	1.00	3.09	-4.84
128.37	1.00	2.85	-4.96
129.82	1.00	2.30	-4.96
130.48	1.00	2.01	-4.86
131.74	1.00	2.24	-4.75
132.51	1.00	2.40	-4.79
133.79	1.00	2.68	-4.97
134.49	1.00	2.65	-5.19
135.86	1.00	2.02	-5.00
136.47	1.00	2.18	-5.20
137.80	1.00	2.27	-4.95
